Series ID,Year,Period,Label,Value
CWUR0000SA0,1986,M09,1986 Sep,109.1
CWUR0000SA0,1986,M10,1986 Oct,109.1
CWUR0000SA0,1986,M11,1986 Nov,109.2
CWUR0000SA0,1986,M12,1986 Dec,109.3
CWUR0000SA0,1987,M01,1987 Jan,110.0
CWUR0000SA0,1987,M02,1987 Feb,110.5
CWUR0000SA0,1987,M03,1987 Mar,111.0
CWUR0000SA0,1987,M04,1987 Apr,111.6
CWUR0000SA0,1987,M05,1987 May,111.9
CWUR0000SA0,1987,M06,1987 Jun,112.4
CWUR0000SA0,1987,M07,1987 Jul,112.7
CWUR0000SA0,1987,M08,1987 Aug,113.3
CWUR0000SA0,1987,M09,1987 Sep,113.8
CWUR0000SA0,1987,M10,1987 Oct,114.1
CWUR0000SA0,1987,M11,1987 Nov,114.3
CWUR0000SA0,1987,M12,1987 Dec,114.2
CWUR0000SA0,1988,M01,1988 Jan,114.5
CWUR0000SA0,1988,M02,1988 Feb,114.7
CWUR0000SA0,1988,M03,1988 Mar,115.1
CWUR0000SA0,1988,M04,1988 Apr,115.7
CWUR0000SA0,1988,M05,1988 May,116.2
CWUR0000SA0,1988,M06,1988 Jun,116.7
CWUR0000SA0,1988,M07,1988 Jul,117.2
CWUR0000SA0,1988,M08,1988 Aug,117.7
CWUR0000SA0,1988,M09,1988 Sep,118.5
CWUR0000SA0,1988,M10,1988 Oct,118.9
CWUR0000SA0,1988,M11,1988 Nov,119.0
CWUR0000SA0,1988,M12,1988 Dec,119.2
CWUR0000SA0,1989,M01,1989 Jan,119.7
CWUR0000SA0,1989,M02,1989 Feb,120.2
CWUR0000SA0,1989,M03,1989 Mar,120.8
CWUR0000SA0,1989,M04,1989 Apr,121.8
CWUR0000SA0,1989,M05,1989 May,122.5
CWUR0000SA0,1989,M06,1989 Jun,122.8
CWUR0000SA0,1989,M07,1989 Jul,123.2
CWUR0000SA0,1989,M08,1989 Aug,123.2
CWUR0000SA0,1989,M09,1989 Sep,123.6
CWUR0000SA0,1989,M10,1989 Oct,124.2
CWUR0000SA0,1989,M11,1989 Nov,124.4
CWUR0000SA0,1989,M12,1989 Dec,124.6
CWUR0000SA0,1990,M01,1990 Jan,125.9
CWUR0000SA0,1990,M02,1990 Feb,126.4
CWUR0000SA0,1990,M03,1990 Mar,127.1
CWUR0000SA0,1990,M04,1990 Apr,127.3
CWUR0000SA0,1990,M05,1990 May,127.5
CWUR0000SA0,1990,M06,1990 Jun,128.3
CWUR0000SA0,1990,M07,1990 Jul,128.7
CWUR0000SA0,1990,M08,1990 Aug,129.9
CWUR0000SA0,1990,M09,1990 Sep,131.1
CWUR0000SA0,1990,M10,1990 Oct,131.9
CWUR0000SA0,1990,M11,1990 Nov,132.2
CWUR0000SA0,1990,M12,1990 Dec,132.2
CWUR0000SA0,1991,M01,1991 Jan,132.8
CWUR0000SA0,1991,M02,1991 Feb,132.8
CWUR0000SA0,1991,M03,1991 Mar,133.0
CWUR0000SA0,1991,M04,1991 Apr,133.3
CWUR0000SA0,1991,M05,1991 May,133.8
CWUR0000SA0,1991,M06,1991 Jun,134.1
CWUR0000SA0,1991,M07,1991 Jul,134.3
CWUR0000SA0,1991,M08,1991 Aug,134.6
CWUR0000SA0,1991,M09,1991 Sep,135.2
CWUR0000SA0,1991,M10,1991 Oct,135.4
CWUR0000SA0,1991,M11,1991 Nov,135.8
CWUR0000SA0,1991,M12,1991 Dec,135.9
CWUR0000SA0,1992,M01,1992 Jan,136.0
CWUR0000SA0,1992,M02,1992 Feb,136.4
CWUR0000SA0,1992,M03,1992 Mar,137.0
CWUR0000SA0,1992,M04,1992 Apr,137.3
CWUR0000SA0,1992,M05,1992 May,137.6
CWUR0000SA0,1992,M06,1992 Jun,138.1
CWUR0000SA0,1992,M07,1992 Jul,138.4
CWUR0000SA0,1992,M08,1992 Aug,138.8
CWUR0000SA0,1992,M09,1992 Sep,139.1
CWUR0000SA0,1992,M10,1992 Oct,139.6
CWUR0000SA0,1992,M11,1992 Nov,139.8
CWUR0000SA0,1992,M12,1992 Dec,139.8
CWUR0000SA0,1993,M01,1993 Jan,140.3
CWUR0000SA0,1993,M02,1993 Feb,140.7
CWUR0000SA0,1993,M03,1993 Mar,141.1
CWUR0000SA0,1993,M04,1993 Apr,141.6
CWUR0000SA0,1993,M05,1993 May,141.9
CWUR0000SA0,1993,M06,1993 Jun,142.0
CWUR0000SA0,1993,M07,1993 Jul,142.1
CWUR0000SA0,1993,M08,1993 Aug,142.4
CWUR0000SA0,1993,M09,1993 Sep,142.6
CWUR0000SA0,1993,M10,1993 Oct,143.3
CWUR0000SA0,1993,M11,1993 Nov,143.4
CWUR0000SA0,1993,M12,1993 Dec,143.3
CWUR0000SA0,1994,M01,1994 Jan,143.6
CWUR0000SA0,1994,M02,1994 Feb,144.0
CWUR0000SA0,1994,M03,1994 Mar,144.4
CWUR0000SA0,1994,M04,1994 Apr,144.7
